input,name,quantity,unit,comment
300 g cooked prawns,cooked prawns,300,g,
"6 spring onions, chopped",spring onions,6,,chopped
"1 mug frozen peas, defrosted",frozen peas,1,mug,defrosted
2 tbsp chopped basil,chopped basil,2,tbsp,
Juice of lemon,Juice of lemon,,,
2 tbsp ghee or olive oil,ghee or olive oil,2,tbsp,
"a large thumb-sized piece of fresh ginger, peeled and finely shredded",a large thumb-sized piece of fresh ginger,,,peeled and finely shredded
"1 onion, finely chopped",onion,1,,finely chopped
"1 kg lean beef, cubed",lean beef,1,kg,cubed
1-2 tsp ras el hanout,ras el hanout,1-2,tsp,
"2 medium sweet potatoes, peeled and cubed",sweet potatoes,2,medium,peeled and cubed
sea salt and freshly ground black pepper,sea salt and freshly ground black pepper,,,
500 g shelled fresh peas or frozen peas,shelled fresh peas or frozen peas,500,g,
"2-3 tomatoes, skinned, deseeded and chopped",tomatoes,2-3,,"skinned, deseeded and chopped"
"1 preserved lemon, finely shredded or chopped",preserved lemon,1,,finely shredded or chopped
"a small bunch of fresh coriander leaves, finely chopped",a small bunch of fresh coriander leaves,,,finely chopped 
1 tbsp olive oil,olive oil,1,tbsp,
50 g dried breadcrumbs,dried breadcrumbs,50,g,
"3 cloves garlic, finely chopped",garlic,3,cloves,finely chopped
"1 sprig rosemary, leaves finely chopped",rosemary,1,sprig,leaves finely chopped
"2x 120 g cans sardines, drained",sardines,2x,120 g cans,drained
500 g passata,passata,500,g,
"50 g sliced black olives, drained",sliced black olives,50,g,drained
350 g linguine or fusilli,linguine or fusilli,350,g,
"small pack parsley, leaves chopped",parsley,,small pack,leaves chopped
"25 g Parmesan, finely grated",Parmesan,25,g,finely grated
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, finely chopped",onion,1,,finely chopped
"1 red pepper, deseeded and sliced",red pepper,1,,deseeded and sliced
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
1x 230 g can chopped tomatoes,chopped tomatoes,1x,230 g can,
1 tsp ground turmeric,ground turmeric,1,tsp,
300 g long grain rice,long grain rice,300,g,
1.33333 l vegetable stock,vegetable stock,1.33333,l,
"450 g bag frozen mixed seafood, thawed",bag frozen mixed seafood,450,g,thawed
"175 g green beans, halved",green beans,175,g,halved
handful chopped flat-leaf parsley leaves,chopped flat-leaf parsley leaves,,handful,
"1 lemon, cut into wedges",lemon,1,,cut into wedges
2 tbsp olive oil,olive oil,2,tbsp,
700 g single pork ribs,single pork ribs,700,g,
"250 g mini cooking chorizo, cut into 1cm discs",mini cooking chorizo,250,g,cut into 1cm discs
"2 medium onions, finely chopped",onions,2,medium,finely chopped
"0.5 medium leek, finely chopped",leek,0.5,medium,finely chopped
"4 cloves garlic, crushed with the flat of a knife",garlic,4,cloves,crushed with the flat of a knife
"0.5 green pepper, finely chopped",green pepper,0.5,,finely chopped
"2 large plum tomatoes, coarsely grated",plum tomatoes,2,large,coarsely grated
100 ml white wine,white wine,100,ml,
"800 g white potatoes, peeled and chopped into 2-3 cm cubes",white potatoes,800,g,peeled and chopped into 2-3 cm cubes
2 tsp smoked paprika,smoked paprika,2,tsp,
"2 dried choricero peppers, halved, stems and seeds removed",dried choricero peppers,2,,"halved, stems and seeds removed"
150 g baby button chestnut mushrooms,baby button chestnut mushrooms,150,g,
"a few sprigs thyme, to garnish",thyme,,a few sprigs,to garnish
"500 g lamb neck fillets, cut into bite-size pieces",lamb neck fillets,500,g,cut into bite-size pieces
2 tsp paprika,paprika,2,tsp,
3 tsp ground cinnamon,ground cinnamon,3,tsp,
2x 400 g cans chopped tomatoes with olive oil and garlic,chopped tomatoes with olive oil and garlic,2x,400 g cans,
"1 tbsp finely chopped parsley, plus extra to serve",finely chopped parsley,1,tbsp,plus extra to serve
225 g jasmine or Thai rice,jasmine or Thai rice,225,g,
"1 stalk lemongrass, finely chopped",lemongrass,1,stalk,finely chopped
"175 g mangetout, halved lengthways",mangetout,175,g,halved lengthways
"175 g baby sweetcorn, halved lengthways",baby sweetcorn,175,g,halved lengthways
"2 tomatoes, roughly chopped",tomatoes,2,,roughly chopped
"25 g coriander leaves, finely chopped",coriander leaves,25,g,finely chopped
"25 g desiccated coconut, lightly toasted",desiccated coconut,25,g,lightly toasted
"1 red chilli, deseeded and finely chopped",red chilli,1,,deseeded and finely chopped
1 tbsp light soy sauce,light soy sauce,1,tbsp,
"coriander sprigs, to garnish",coriander sprigs,,,to garnish
"0.25 cup neutral oil, such as canola or vegetable",neutral oil,0.25,cup,such as canola or vegetable
"1 large yellow onion, diced into &frac12;-inch pieces",yellow onion,1,large,diced into &frac12;-inch pieces
Kosher salt and black pepper,Kosher salt and black pepper,,,
"3 cloves garlic, minced",garlic,3,cloves,minced
"5 strips uncooked smoked bacon, finely chopped",strips uncooked smoked bacon,5,,finely chopped
1 lb ground beef,ground beef,1,lb,
1 cup dry white wine,dry white wine,1,cup,
3 cups chicken stock or water,chicken stock or water,3,cups,
0.75 cup heavy cream,heavy cream,0.75,cup,
0.25-0.333 cups hot sauce,hot sauce,0.25-0.333,cups,
2 tsp hot smoked paprika,hot smoked paprika,2,tsp,
1 bay leaf,bay leaf,1,,
8 oz elbow pasta,elbow pasta,8,oz,
"5 slices American cheese, ripped into small pieces",slices American cheese,5,,ripped into small pieces
1.5 cups grated Cheddar,grated Cheddar,1.5,cups,
0.5 cup finely chopped chives,finely chopped chives,0.5,cup,
3 cups cauliflower florets (about half a head),cauliflower florets (about half a head),3,cups,
"1 tbsp coconut oil, melted",coconut oil,1,tbsp,melted
2 tsps garam masala,garam masala,2,tsps,
0.25 tsp table salt,table salt,0.25,tsp,
2 tbsps coconut oil,coconut oil,2,tbsps,
"1 medium yellow onion, finely chopped",yellow onion,1,medium,finely chopped
"3 medium tomatoes, chopped",tomatoes,3,medium,chopped
0.25 cup minced cilantro stems and leaves (reserve some leaves for garnish),minced cilantro stems and leaves (reserve some leaves for garnish),0.25,cup,
4 tsps garam masala,garam masala,4,tsps,
0.25 tsp table salt,table salt,0.25,tsp,
1x 300 g can crushed tomatoes,crushed tomatoes,1x,300 g can,
"5 large cloves garlic, peeled and grated",garlic,5,large cloves,peeled and grated
"2in piece ginger root, grated",ginger root,2in,piece,grated
1 tbsp red wine vinegar,red wine vinegar,1,tbsp,
1x 400 g can cooked chickpeas,cooked chickpeas,1x,400 g can,
2 tbsps full fat coconut milk,full fat coconut milk,2,tbsps,
Reserved cilantro leaves for garnish,Reserved cilantro leaves for garnish,,,
330 g self-rising flour,self-rising flour,330,g,
240 ml luke warm water,luke warm water,240,ml,
2 tbsp olive oil,olive oil,2,tbsp,
1 tsp salt,salt,1,tsp,
"0.5 head cauliflower, cut into bite-sized florets",cauliflower,0.5,head,cut into bite-sized florets
"180 ml vegan BBQ sauce, use 120 ml if you want the BBQ taste to be more mild",vegan BBQ sauce,180,ml,use 120 ml if you want the BBQ taste to be more mild
0.5 tsp garlic powder,garlic powder,0.5,tsp,
0.5 tsp onion powder,onion powder,0.5,tsp,
180 g hummus,hummus,180,g,
70 g tomato paste,tomato paste,70,g,
1 tsp dried oregano,dried oregano,1,tsp,
1 tsp dried basil,dried basil,1,tsp,
0.5 tsp dried thyme,dried thyme,0.5,tsp,
0.5 tsp salt,salt,0.5,tsp,
0.25 tsp black pepper,black pepper,0.25,tsp,
"180 ml unsweetened plant-based yogurt, we used soy",unsweetened plant-based yogurt,180,ml,we used soy
2 cloves garlic,garlic,2,cloves,
0.25 tsp salt,salt,0.25,tsp,
"800 g scrag end/lamb neck, on the bone in thick slices or 600 g boneless lamb shoulder",scrag end/lamb neck,800,g,on the bone  in thick slices  or 600 g boneless lamb shoulder
2 tbsp beef dripping or neutral oil,beef dripping or neutral oil,2,tbsp,
"500 g floury potatoes, cleaned",floury potatoes,500,g,cleaned
2 onions,onions,2,,
600 ml beef stock,beef stock,600,ml,
2 sprigs fresh thyme,fresh thyme,2,sprigs,
1 bay leaf,bay leaf,1,,
2 carrots,carrots,2,,
"250 g swede, optional",swede,250,g,optional
Salt and pepper,Salt and pepper,,,
"Worcestershire sauce, to taste",Worcestershire sauce,,,to taste
0.75 cups butter (softened),butter (softened),0.75,cups,
1 cup granulated sugar,granulated sugar,1,cup,
2 large eggs,eggs,2,large,
2 teaspoons vanilla extract,vanilla extract,2,teaspoons,
1 cup full-fat sour cream,full-fat sour cream,1,cup,
2 cups all-purpose flour,all-purpose flour,2,cups,
1.25 teaspoons baking powder,baking powder,1.25,teaspoons,
0.5 teaspoons baking soda,baking soda,0.5,teaspoons,
0.5 teaspoons salt,salt,0.5,teaspoons,
1.5 cups fresh blueberries,fresh blueberries,1.5,cups,
1 cup brown sugar,brown sugar,1,cup,
1.25 cups all-purpose flour,all-purpose flour,1.25,cups,
1 teaspoon ground cinnamon,ground cinnamon,1,teaspoon,
"0.5 cups butter, melted",butter,0.5,cups,melted
1.5 cups confectioners' sugar,confectioners' sugar,1.5,cups,
2 tbsp lemon juice,lemon juice,2,tbsp,
Zest of one lemon,Zest of one lemon,,,
0.5 teaspoons vanilla extract,vanilla extract,0.5,teaspoons,
zest and juice of 1 lemon,zest and juice of 1 lemon,,,
0.5 tsp ground cinnamon,ground cinnamon,0.5,tsp,
"350 g pork fillet, trimmed",pork fillet,350,g,trimmed
2 tbsp seed mix,seed mix,2,tbsp,
1 tsp vegetable oil,vegetable oil,1,tsp,
200 g couscous,couscous,200,g,
"100 g dried apricots, chopped",dried apricots,100,g,chopped
"2 tbsp chopped mint, plus extra leaves to garnish",chopped mint,2,tbsp,plus extra leaves to garnish
"4 tbsp Greek-style yogurt, to serve",Greek-style yogurt,4,tbsp,to serve
"1 tbsp olive oil, plus a drizzle",olive oil,1,tbsp,plus a drizzle
"1 onion, chopped",onion,1,,chopped
"3 cloves garlic, crushed",garlic,3,cloves,crushed
200 g risotto rice,risotto rice,200,g,
1 litre vegetable stock,vegetable stock,1,litre,
300 g frozen peas,frozen peas,300,g,
"25 g Italian-style hard cheese, grated",Italian-style hard cheese,25,g,grated
juice and zest 1 lemon,juice and zest 1 lemon,,,
"2 slices leftover bread, a few days old is best",leftover bread,2,slices,a few days old is best
"2 frozen red chillies, or pinch of chilli flakes",frozen red chillies,2,,or pinch of chilli flakes
"0.5 small bunch mint, chopped",mint,0.5,small bunch,chopped
"250 g punnet cherry tomatoes, halved",punnet cherry tomatoes,250,g,halved
0.5 small red onion,red onion,0.5,small,
"1x 400 g can chickpeas, drained and rinsed",chickpeas,1x,400 g can,drained and rinsed
"small bunch parsley, roughly chopped",parsley,,small bunch,roughly chopped
juice 1 lemon,juice 1 lemon,,,
"2 boneless skinless chicken breasts, halved lengthways through the middle",boneless skinless chicken breasts,2,,halved lengthways through the middle
1 tbsp harissa paste,harissa paste,1,tbsp,
"fat-free natural yogurt and warmed wholemeal pitta bread, to serve",fat-free natural yogurt and warmed wholemeal pitta bread,,,to serve
1 tbsp sunflower oil,sunflower oil,1,tbsp,
"1 onion, chopped",onion,1,,chopped
1-2 tbsp chipotle paste,chipotle paste,1-2,tbsp,
"2x 400 g cans black beans, drained and rinsed",black beans,2x,400 g cans,drained and rinsed
"1x 400 g can mixed beans, drained and rinsed",mixed beans,1x,400 g can,drained and rinsed
2x 400 g cans chopped tomatoes with garlic and herbs,chopped tomatoes with garlic and herbs,2x,400 g cans,
1 heaped tbsp brown sugar,brown sugar,1,heaped tbsp,
4 eggs,eggs,4,,
small handful coriander leaves,coriander leaves,,small handful,
"soured cream and warm flour tortillas, to serve",soured cream and warm flour tortillas,,,to serve
455 g lean ground pork,lean ground pork,455,g,
1 small sweet potato,sweet potato,1,small,
0.5 small red onion finely diced,red onion finely diced,0.5,small,
"handful fresh coriander, finely chopped",fresh coriander,,handful,finely chopped
"pinch salt, optional",salt,,pinch,optional
0.25 tsp ground ginger,ground ginger,0.25,tsp,
0.25 tsp onion powder,onion powder,0.25,tsp,
0.25 tsp garlic powder,garlic powder,0.25,tsp,
olive oil,olive oil,,,
4 tbsp hoisin sauce,hoisin sauce,4,tbsp,
4 tbsp passata,passata,4,tbsp,
2 tbsp water,water,2,tbsp,
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, sliced",onion,1,,sliced
"4 medium carrots, diced",carrots,4,medium,diced
500 g minced lamb,minced lamb,500,g,
2 tbsp plain flour,plain flour,2,tbsp,
2 mugs water,water,2,mugs,
1 lamb stock cube,lamb stock cube,1,,
2 tbsp freshly chopped mint,freshly chopped mint,2,tbsp,
1 tsp xanthan gum,xanthan gum,1,tsp,
0.5 tsp salt,salt,0.5,tsp,
"175 g butter, measure using packet",butter,175,g,measure using packet
0.333 mug cold water,cold water,0.333,mug,
1 egg,egg,1,,
360 g plain flour,plain flour,360,g,
green veg,green veg,,,
6 medium potatoes,potatoes,6,medium,
1 tbsp olive oil,olive oil,1,tbsp,
4 good quality pork sausages,good quality pork sausages,4,,
"2 courgettes, sliced on the diagonal then chopped into batons",courgettes,2,,sliced on the diagonal then chopped into batons
"3 cloves garlic, finely sliced",garlic,3,cloves,finely sliced
pinch chilli flakes,chilli flakes,,pinch,
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
200 g rigatoni,rigatoni,200,g,
"0.5x 150 g ball mozzarella, patted dry and torn into chunks",mozzarella,0.5x,150 g ball,patted dry and torn into chunks
12-14 new potatoes,new potatoes,12-14,,
"4 carrots, cut into sticks",carrots,4,,cut into sticks
2 pork steaks,pork steaks,2,,
200 g pack green beans,pack green beans,200,g,
"1 onion, finely chopped",onion,1,,finely chopped
1.5 tbsp grated ginger,grated ginger,1.5,tbsp,
0.5 tsp cumin,cumin,0.5,tsp,
0.25 tsp cinnamon,cinnamon,0.25,tsp,
1 tsp flour,flour,1,tsp,
1 tbsp honey,honey,1,tbsp,
1 dessertspoon wholegrain mustard,wholegrain mustard,1,dessertspoon,
0.333 mug water,water,0.333,mug,
salt and pepper,salt and pepper,,,
oil to fry,oil to fry,,,
225 g plain flour,plain flour,225,g,
good pinch of salt,of salt,,good pinch,
0.5 tsp ground turmeric,ground turmeric,0.5,tsp,
"125 g unsalted butter, chilled and diced",unsalted butter,125,g,chilled and diced
4 tbsp icy water,icy water,4 tbsp,,
"175 g skinless boneless chicken breast, cut into 1.5 cm cubes",skinless boneless chicken breast,175,g,cut into 1.5 cm cubes
3 tbsp natural yoghurt,natural yoghurt,3,tbsp,
"2 cloves garlic, crushed",garlic,2,cloves,crushed
"2 cm piece root ginger, peeled and grated",piece root ginger,2,cm,peeled and grated
0.25 tsp cayenne pepper,cayenne pepper,0.25,tsp,
0.25 tsp ground cumin,ground cumin,0.25,tsp,
0.25 tsp ground coriander,ground coriander,0.25,tsp,
good pinch of salt,of salt,,good pinch,
2 tbsp mango chutney,mango chutney,2,tbsp,
"beaten egg, to glaze",beaten egg,,,to glaze
"200 g flour, half strong white flour, half wholewheat flour",flour,200,g,"half strong white flour, half wholewheat flour"
7 g sachet fast-action dried yeast,sachet fast-action dried yeast,7,g,
125 ml warm water,warm water,125,ml,
"200 g can chopped tomatoes, juice drained",chopped tomatoes,200,g can,juice drained
"handful cherry tomatoes, halved",cherry tomatoes,,handful,halved
"1 large courgette, thinly sliced using a peeler",courgette,1,large,thinly sliced using a peeler
"25 g mozzarella, torn into pieces",mozzarella,25,g,torn into pieces
1 tsp capers,capers,1,tsp,
"8 pitted olives, roughly chopped",pitted olives,8,,roughly chopped
"1 clove garlic, finely chopped",garlic,1,clove,finely chopped
1 tbsp olive oil,olive oil,1,tbsp,
2 tbsp chopped parsley (optional),chopped parsley (optional),2,tbsp,
"400 g pork fillet, cut into 4 cm chunks",pork fillet,400,g,cut into 4 cm chunks
2 tbsp jerk or Creole seasoning,jerk or Creole seasoning,2,tbsp,
1 tsp ground allspice,ground allspice,1,tsp,
"1 tbsp hot chilli sauce, plus extra to serve (optional)",hot chilli sauce,1,tbsp,plus extra to serve (optional)
"3 limes, zest and juice 1 other 2 cut into wedges to serve",limes,3,,zest and juice 1  other 2 cut into wedges to serve
"0.5 small pineapple, peeled cored and cut into 4cm chunks",pineapple,0.5,small,peeled  cored and cut into 4cm chunks
1 tbsp vegetable oil,vegetable oil,1,tbsp,
200 g basmati rice,basmati rice,200,g,
"1x 400 g can black beans, drained and rinsed",black beans,1x,400 g can,drained and rinsed
vegetable oil,vegetable oil,,,
"2 large onions, roughly diced",onions,2,large,roughly diced
"600-800 g lamb neck fillets (or use diced, boneless leg or 6 lamb shanks), cut into 2.5 cm thick chunks","lamb neck fillets (or use diced, boneless leg or 6 lamb shanks)",600-800,g,cut into 2.5 cm thick chunks
2 heaped tsp ground cumin,ground cumin,2,heaped tsp,
1 heaped tsp ground cinnamon,ground cinnamon,1,heaped tsp,
1 heaped tsp turmeric,turmeric,1,heaped tsp,
sea salt flakes,sea salt flakes,,,
2 generous tbsp clear honey,clear honey,2,generous tbsp,
250 g dried apricots,dried apricots,250,g,
"1 large carrot, peeled",carrot,1,large,peeled
2 courgettes,courgettes,2,,
50 g butter,butter,50,g,
15 ml olive oil,olive oil,15,ml,
"6 fresh shiitake mushrooms, finely sliced",fresh shiitake mushrooms,6,,finely sliced
"50 g frozen peas, thawed",frozen peas,50,g,thawed
350 g fresh broad egg ribbon noodles,fresh broad egg ribbon noodles,350,g,
"2 tsp chopped mixed herbs, such as marjoram, chives and basil",chopped mixed herbs,2,tsp,"such as marjoram, chives and basil"
salt and ground black pepper,salt and ground black pepper,,,
"25 g Parmesan cheese, to serve",Parmesan cheese,25,g,to serve
0.25 cup soy sauce,soy sauce,0.25,cup,
0.5 tbsp toasted sesame oil,toasted sesame oil,0.5,tbsp,
