Input,quantity,unit,item,comment
1 tsp paprika,1,tsp,paprika,
0.5 mug water + 1 beef stock cube,0.5,mug,water + 1 beef stock cube,
1 tbsp dark soy sauce,1,tbsp,dark soy sauce,
100 g mangetout,100,g,mangetout,
1 tbsp curry powder,1,tbsp,curry powder,
1 tbsp lemon juice,1,tbsp,lemon juice,
1 tsp Urfa chilli flakes (or 0.5 tsp regular chilli flakes),1,tsp,Urfa chilli flakes (or 0.5 tsp regular chilli flakes),
handful chopped flat-leaf parsley leaves,,handful,chopped flat-leaf parsley leaves,
0.5 tsp ground cinnamon,0.5,tsp,ground cinnamon,
50 g cocoa powder,50,g,cocoa powder,
"100 g mangetout, cut lengthways into strips",100,g,mangetout,cut lengthways into strips
2 tbsp vegetable bouillon powder,2,tbsp,vegetable bouillon powder,
"2 leeks, washed and chopped",2,,leeks,washed and chopped
500 ml vegetable or chicken stock,500,ml,vegetable or chicken stock,
"350 g lean lamb leg, cubed",350,g,lean lamb leg,cubed
"2 small pices of salmon steak, cut into chunks",2,small,pices of salmon steak,cut into chunks
200 g couscous,200,g,couscous,
15 g freshly grated parmesan cheese,15,g,freshly grated parmesan cheese,
2 tsp nigella seeds,2,tsp,nigella seeds,
1 tsp pilau seasoning,1,tsp,pilau seasoning,
"4 peppers, a mixture of orange, yellow and red, thinly sliced",4,,peppers,"a mixture of orange, yellow and red, thinly sliced"
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
"4-5 mushrooms, sliced",4-5,,mushrooms,sliced
"1 large sweet potato (about 300g), peeled and grated",1,large,sweet potato (about 300g),peeled and grated
sea salt flakes and freshly ground black pepper,,,sea salt flakes and freshly ground black pepper,
"3 spring onions, roughly chopped",3,,spring onions,roughly chopped
400 g can tomatoes,400,g can,tomatoes,
2 peppers (not green),2,,peppers (not green),
"0.5 lb peeled & deveined shrimp, 41/50 size",0.5,lb,peeled & deveined shrimp,41/50 size
500 g sweet potato,500,g,sweet potato,
"1 onion, finely chopped",1,,onion,finely chopped
juice of lemon,,,juice of lemon,
"2 carrots, chopped",2,,carrots,chopped
"1 tsp granulated sugar, plus more as needed",1,tsp,granulated sugar,plus more as needed
200 g icing sugar,200,g,icing sugar,
4 curry leaves,4,,curry leaves,
0.25 cup finely chopped parsley,0.25,cup,finely chopped parsley,
"1 kg new potatoes, unpeeled halved or quartered if large",1,kg,new potatoes,unpeeled  halved or quartered if large
"1 can (15-ounce) kidney beans, drained and rinsed",1,,can (15-ounce) kidney beans,drained and rinsed
1 small onion,1,small,onion,
250 g cooked rice,250,g,cooked rice,
3 tbsp mayonnaise,3,tbsp,mayonnaise,
1 tbsp smoked paprika,1,tbsp,smoked paprika,
"1 onion, finely chopped",1,,onion,finely chopped
50 g frozen peas,50,g,frozen peas,
"3 shallots, finely chopped",3,,shallots,finely chopped
2 tsp finely chopped red onion,2,tsp,finely chopped red onion,
150 ml double cream,150,ml,double cream,
"1 kg onions, diced",1,kg,onions,diced
2 tbsp olive oil,2,tbsp,olive oil,
1 tsp dried thyme,1,tsp,dried thyme,
1 tbsp maple extract,1,tbsp,maple extract,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
1 tbsp sweet smoked paprika,1,tbsp,sweet smoked paprika,
20 g salted butter,20,g,salted butter,
0.25 tsp caster sugar,0.25,tsp,caster sugar,
2x 400 g cans chopped tomatoes with garlic and herbs,2x,400 g cans,chopped tomatoes with garlic and herbs,
4 tbsp red wine vinegar,4,tbsp,red wine vinegar,
3 tbsp ground cinnamon,3,tbsp,ground cinnamon,
1 tsp whole peppercorns,1,tsp,whole peppercorns,
1 tsp caraway seeds,1,tsp,caraway seeds,
400 g undyed smoked haddock fillets (skin on),400,g,undyed smoked haddock fillets (skin on),
pinch of ground allspice,,,pinch of ground allspice,
2 tsp cornflour,2,tsp,cornflour,
0.5 mug water,0.5,mug,water,
1 tbsp oil,1,tbsp,oil,
"2 sweet potatoes, peeled and cut into bitesized chunks",2,,sweet potatoes,peeled and cut into bitesized chunks
"750 g carrots, peeled and cut into 2 cm slices",750,g,carrots,peeled and cut into 2 cm slices
150 ml vegetable stock,150,ml,vegetable stock,
"4 eggs, separated",4,,eggs,separated
"100 g vegetarian feta, crumbled",100,g,vegetarian feta,crumbled
"2 lean leg lamb steaks, about 100 g each, all visible fat removed",2,,lean leg lamb steaks,"about 100 g each, all visible fat removed"
"25 g Italian-style hard cheese, grated",25,g,Italian-style hard cheese,grated
"40 g pitted green olives, halved",40,g,pitted green olives,halved
1x 400 g can black-eyed beans,1x,400 g can,black-eyed beans,
500 g passata,500,g,passata,
"0.5 red pepper, sliced thinly",0.5,,red pepper,sliced thinly
sesame oil,,,sesame oil,
pinch cayenne pepper,,,pinch cayenne pepper,
0.5x 400 g pack of fresh or ready-to-wok egg noodles,0.5x,400 g pack,of fresh or ready-to-wok egg noodles,
500 ml passata,500,ml,passata,
"25 g Parmesan cheese, to serve",25,g,Parmesan cheese,to serve
4 tbsp cider vinegar,4,tbsp,cider vinegar,
2 tbsp Shaosing rice wine,2,tbsp,Shaosing rice wine,
1 tbsp sunflower oil,1,tbsp,sunflower oil,
"1 large carrot, cut into thin strips",1,large,carrot,cut into thin strips
250 g packet egg noodles,250,g packet,egg noodles,
1 lemon,1,,lemon,
3-4 cloves garlic,3-4,cloves,garlic,
4 sweet potatoes,4,,sweet potatoes,
salt,,,salt,
"1 tbsp Dijon mustard, plus extra to serve",1,tbsp,Dijon mustard,plus extra to serve
0.5 tsp dried oregano,0.5,tsp,dried oregano,
"2.5 cm piece fresh root ginger, peeled and grated",2.5,cm piece,fresh root ginger,peeled and grated
2 tbsp all-purpose flour,2,tbsp,all-purpose flour,
"2 slices wholemeal break, made into breadcrumbs",2,slices,wholemeal break,made into breadcrumbs
1 red pepper,1,,red pepper,
"1 sprig rosemary, leaves finely chopped",1,sprig,rosemary,leaves finely chopped
2 tbsp olive oil,2,tbsp,olive oil,
"1 red pepper, deseeded and thinly sliced",1,,red pepper,deseeded and thinly sliced
"3 chicken breasts, cut into bitesized pieces",3,,chicken breasts,cut into bitesized pieces
fresh coriander,,,fresh coriander,
2 tsp curry powder,2,tsp,curry powder,
1 tsp black mustard seeds,1,tsp,black mustard seeds,
25 g frozen peas,25,g,frozen peas,
dried oregano,,,dried oregano,
1 tbsp olive oil,1,tbsp,olive oil,
"125 g slightly stale sourdough, blitzed to chunky crumbs",125,g,slightly stale sourdough,blitzed to chunky crumbs
"300 g leeks (about 2), thickly sliced",300,g,leeks (about 2),thickly sliced
"1 dried ancho chilli, torn apart",1,,dried ancho chilli,torn apart
"3 large cloves garlic, crushed",3,large cloves,garlic,crushed
750 ml vegetable stock,750,ml,vegetable stock,
1.5 cups sugar,1.5,cups,sugar,
160 g baby leaf spinach,160,g,baby leaf spinach,
"1 kg boneless lamb neck fillets, sliced into 2.5 cm pieces",1,kg,boneless lamb neck fillets,sliced into 2.5 cm pieces
0.5x 340 g tin sweetcorn,0.5x,340 g tin,sweetcorn,
1 cup canned unsweetened coconut milk,1,cup,canned unsweetened coconut milk,
1 tbsp oyster sauce,1,tbsp,oyster sauce,
4 tbsp Greek yogurt,4,tbsp,Greek yogurt,
"2-3 fat cloves garlic, finely chopped",2-3,fat cloves,garlic,finely chopped
1 tbsp fresh mint,1,tbsp,fresh mint,
25 g mixed seeds,25,g,mixed seeds,
pinch of saffron,,pinch,of saffron,
Parmesan cheese,,,Parmesan cheese,
"500 g block shortcrust pastry, pastry",500,g,block shortcrust pastry,pastry
"1 stalk celery stalk, finely diced",1,stalk,celery stalk,finely diced
"2 large courgettes, cut into 1 cm thick slices",2,large,courgettes,cut into 1 cm thick slices
"125 g cherry tomatoes, halved",125,g,cherry tomatoes,halved
100 g crème fraîche,100,g,crème fraîche,
2 tsp mild curry powder,2,tsp,mild curry powder,
"handful tarragon leaves, roughly chopped or 0.5 tsp dried tarragon",,handful,tarragon leaves,roughly chopped or 0.5 tsp dried tarragon
"1 tsp Asian fish sauce, plus more to taste",1,tsp,Asian fish sauce,plus more to taste
"600 g boneless, skinless chicken breast",600,g,"boneless, skinless chicken breast",
"green salad and bread, to serve (optional)",,,green salad and bread,to serve (optional)
1 tsp paprika,1,tsp,paprika,
2 tbsp toasted pine nuts,2,tbsp,toasted pine nuts,
220 ml white wine,220,ml,white wine,
50 g butter,50,g,butter,
1x 400 g tin chopped tomato with garlic,1x,400 g tin,chopped tomato with garlic,
"6 boneless skinless chicken breasts, cubed",6,,boneless skinless chicken breasts,cubed
2 tbsp hoisin sauce,2,tbsp,hoisin sauce,
1 tsp garam masala,1,tsp,garam masala,
3 tbsp dry sherry,3,tbsp,dry sherry,
1.5 tbsp olive oil,1.5,tbsp,olive oil,
3 tbsps extra virgin olive oil,3,tbsps,extra virgin olive oil,
1 tbsp freshly grated vegetarian Parmesan cheese,1,tbsp,freshly grated vegetarian Parmesan cheese,
"1 large egg, lightly beaten",1,large,egg,lightly beaten
"1 red pepper, finely chopped",1,,red pepper,finely chopped
2 tbsp rice wine or sherry,2,tbsp,rice wine or sherry,
"200 g cherry tomatoes, halved",200,g,cherry tomatoes,halved
150 g mascarpone,150,g,mascarpone,
"1 medium yellow onion, finely chopped",1,medium,yellow onion,finely chopped
500 g turkey thigh mince,500,g,turkey thigh mince,
"1 small red or green pepper, thinly sliced",1,small,red or green pepper,thinly sliced
"3 peppers - 1 red, 1 yellow, 1 green, halved, deseeded and sliced",3,,"peppers - 1 red, 1 yellow, 1 green","halved, deseeded and sliced"
fresh flat leaf parsley,,,fresh flat leaf parsley,
"2 medium-sized sweet potatoes, peeled and cut into bite-size pieces",2,,medium-sized sweet potatoes,peeled and cut into bite-size pieces
192 g plain flour,192,g,plain flour,
1 tbsp sun-dried tomato puree,1,tbsp,sun-dried tomato puree,
"1 tbsp mild curry paste (we used Pataks), plus &frac14; tsp",1,tbsp,mild curry paste (we used Pataks),plus &frac14; tsp
"1 clove garlic, crushed",1,clove,garlic,crushed
3 tbsp rose harissa,3,tbsp,rose harissa,
2 tbsp mirin,2,tbsp,mirin,
1x 500 g carton passata,1x,500 g carton,passata,
200 g frozen peas,200,g,frozen peas,
"2 carrots, sliced",2,,carrots,sliced
"400 g beef, cut into thin strips",400,g,beef,cut into thin strips
"650 g flank steak, sliced against the grain",650,g,flank steak,sliced against the grain
700 ml jar tomato passata,700,ml,jar tomato passata,
600 ml milk,600,ml,milk,
freshly grated Parmesan cheese,,,freshly grated Parmesan cheese,
1 tsp baking powder,1,tsp,baking powder,
1 cup finely diced onion,1,cup,finely diced onion,
0.5 tsp garlic powder,0.5,tsp,garlic powder,
50 g butter,50,g,butter,
250 ml skimmed milk,250,ml,skimmed milk,
2 tbsp tamari sauce or soy sauce,2,tbsp,tamari sauce or soy sauce,
good pinch of saffron (optional),,good pinch,of saffron (optional),
2 red pepper,2,,red pepper,
"35 g Parmesan, finely grated",35,g,Parmesan,finely grated
0.125 tsp freshly cracked pepper,0.125,tsp,freshly cracked pepper,
40 g mature cheddar cheese,40,g,mature cheddar cheese,
8 Persian dried whole limes or preserved lemons,8,,Persian dried whole limes or preserved lemons,
2 tbsp chopped rosemary,2,tbsp,chopped rosemary,
1 tbsp chopped fresh coriander leaves,1,tbsp,chopped fresh coriander leaves,
14 oz Andouille sausage,14,oz,Andouille sausage,
salt and pepper,,,salt and pepper,
"1 tsp crushed red pepper flakes, divided",1,tsp,crushed red pepper flakes,divided
3 tbsp chopped parsley leaves,3,tbsp,chopped parsley leaves,
"1 tbsp hot chilli sauce, plus extra to serve (optional)",1,tbsp,hot chilli sauce,plus extra to serve (optional)
"naan bread or rice, to serve",,,naan bread or rice,to serve
1 tbsp clear honey,1,tbsp,clear honey,
"3 cloves garlic, minced",3,cloves,garlic,minced
200 g pancetta lardons,200,g,pancetta lardons,
"1 tomato, sliced",1,,tomato,sliced
1 tsp ground cumin,1,tsp,ground cumin,
"3 spring onions, chopped",3,,spring onions,chopped
2 tbsp sunflower oil,2,tbsp,sunflower oil,
100 g mascarpone cheese,100,g,mascarpone cheese,
1 tsp cumin powder,1,tsp,cumin powder,
1 tbsp sunflower oil,1,tbsp,sunflower oil,
"Extra cilantro, for garnish",,,Extra cilantro,for garnish
"4 peppers - 2 red and 2 green, deseeded, quartered and sliced",4,,peppers - 2 red and 2 green,"deseeded, quartered and sliced"
1 mug risotto rice,1,mug,risotto rice,
"50 g feta cheese, cubed",50,g,feta cheese,cubed
"2 sweet potatoes, peeled and cut into chunks",2,,sweet potatoes,peeled and cut into chunks
25 g strong cheese,25,g,strong cheese,
1 tsp finely chopped peanuts,1,tsp,finely chopped peanuts,
1 tbsp soy sauce,1,tbsp,soy sauce,
1 tbsp fresh lemon juice,1,tbsp,fresh lemon juice,
190 g bag spinach,190,g,bag spinach,
"280 g baby chestnut mushrooms, sliced",280,g,baby chestnut mushrooms,sliced
"200 g pack mixed spring vegetables (broccoli, peas, broad beans and sliced courgette)",200,g,"pack mixed spring vegetables (broccoli, peas, broad beans and sliced courgette)",
0.25 cup unsalted butter,0.25,cup,unsalted butter,
"1 green pepper, diced",1,,green pepper,diced
1 tbsp vegetable oil,1,tbsp,vegetable oil,
"Salt and pepper, to taste",,,Salt and pepper,to taste
1 tbsp light soy sauce,1,tbsp,light soy sauce,
"1x 210 g can chickpeas, no need to drain",1x,210 g can,chickpeas,no need to drain
"2 lbs boneless, skinless chicken thighs, cut into 2-inch pieces",2,lbs,"boneless, skinless chicken thighs",cut into 2-inch pieces
250 g risotto rice,250,g,risotto rice,
2.5 cups chicken broth,2.5,cups,chicken broth,
"1 red chilli, deseeded and chopped",1,,red chilli,deseeded and chopped
2 tbsp red wine vinegar,2,tbsp,red wine vinegar,
1 tbsp chopped fresh coriander leaves,1,tbsp,chopped fresh coriander leaves,
250 ml soy sauce,250,ml,soy sauce,
320 g penne,320,g,penne,
1 tsp sriracha,1,tsp,sriracha,
1 bunch of fresh flat-leaf parsley,1,bunch,of fresh flat-leaf parsley,
"1 red pepper or yellow pepper, cut into thin batons",1,,red pepper or yellow pepper,cut into thin batons
1 tbsp olive oil,1,tbsp,olive oil,
300 g dried fusilli,300,g,dried fusilli,
50 g pearl barley,50,g,pearl barley,
2 mugs defrosted frozen peas,2,mugs,defrosted frozen peas,
"1x 120 g pack thick cut ham, cut into chunks or torn",1x,120 g pack,thick cut ham,cut into chunks or torn
"20 g baby capers (or regular capers, chopped) drained",20,g,baby capers (or regular capers,chopped)  drained
"200 g feta cheese, crumbled",200,g,feta cheese,crumbled
1x 400 g can coconut milk,1x,400 g can,coconut milk,
1x 400 g can refried beans,1x,400 g can,refried beans,
250 g minced beef,250,g,minced beef,
0.5 tsp salt,0.5,tsp,salt,
1 lb boneless skinless chicken thighs,1,lb,boneless skinless chicken thighs,
400 g basmati rice,400,g,basmati rice,
"2 tbsp sweetcorn, canned or frozen",2,tbsp,sweetcorn,canned or frozen
"2 anchovy fillets, chopped",2,,anchovy fillets,chopped
"2 sticks celery, diced",2,sticks,celery,diced
1 tsp ground cumin,1,tsp,ground cumin,
"0.25 cup cilantro leaves, for garnish (optional)",0.25,cup,cilantro leaves,for garnish (optional)
2x 300 g pack extra lean pork medallions,2x,300 g pack,extra lean pork medallions,
3 tbsp tomato puree,3,tbsp,tomato puree,
"2 tbsp butter, melted",2,tbsp,butter,melted
2 tsp ground cumin,2,tsp,ground cumin,
2 ciabatta,2,,ciabatta,
200 g trimmed green beans,200,g,trimmed green beans,
"1 small red onion, diced",1,small,red onion,diced
"1 green pepper, deseeded and diced",1,,green pepper,deseeded and diced
1 tbsp water,1,tbsp,water,
2 tsp sweet smoked paprika,2,tsp,sweet smoked paprika,
"285 g dry whole wheat macaroni, gluten free if desired",285,g,dry whole wheat macaroni,gluten free if desired
400 g arborio rice,400,g,arborio rice,
4 salmon fillets,4,,salmon fillets,
"50 g soft dried apricots, diced",50,g,soft dried apricots,diced
200 g fusilli,200,g,fusilli,
2 tbsp seed mix,2,tbsp,seed mix,
"salt and freshly ground pepper, to taste",,,salt and freshly ground pepper,to taste
"200 g aubergine, cubed",200,g,aubergine,cubed
salt and freshly ground black pepper,,,salt and freshly ground black pepper,
"1 onion, chopped",1,,onion,chopped
"200 g chicken breast, diced",200,g,chicken breast,diced
500 g fusilli,500,g,fusilli,
salt and pepper,,,salt and pepper,
2-3 tbsp vegetable oil,2-3,tbsp,vegetable oil,
chopped parsley,,,chopped parsley,
2 quarts water,2,quarts,water,
"150 g green beans, trimmed and halved",150,g,green beans,trimmed and halved
2 tsp thyme leaves,2,tsp,thyme leaves,
1 tbsp olive oil,1,tbsp,olive oil,
4 tbsp white wine vinegar,4,tbsp,white wine vinegar,
200 g petit pois,200,g,petit pois,
2x 400 g tins tomatoes or peeled cherry tomatoes,2x,400 g tins,tomatoes or peeled cherry tomatoes,
1 tbsp Shaoxing rice wine,1,tbsp,Shaoxing rice wine,
"2 medium courgettes, grated coarsely",2,medium,courgettes,grated coarsely
1 tbsp tomato puree,1,tbsp,tomato puree,
few sprigs thyme,,few sprigs,thyme,
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"500 g tomatoes, tinned is fine",500,g,tomatoes,tinned is fine
1.5 tbsp olive oil,1.5,tbsp,olive oil,
"1 tbsp finely chopped parsley, plus extra to serve",1,tbsp,finely chopped parsley,plus extra to serve
500 g fresh linguine,500,g,fresh linguine,
1 tsp salt,1,tsp,salt,
1 tsp capers,1,tsp,capers,
"300 g head broccoli, broken into florets",300,g,head broccoli,broken into florets
"4 large eggs, soft-boiled (into boiling water for 6 minutes then refreshed under lots of cold water) and peeled",4,large,eggs,soft-boiled (into boiling water for 6 minutes  then refreshed under lots of cold water) and peeled
50 g runny honey,50,g,runny honey,
500 g pork mince,500,g,pork mince,
"handful mint leaves, to garnish",,handful,mint leaves,to garnish
"600-800 g lamb neck fillets (or use diced, boneless leg or 6 lamb shanks), cut into 2.5 cm thick chunks",600-800,g,"lamb neck fillets (or use diced, boneless leg or 6 lamb shanks)",cut into 2.5 cm thick chunks
